Database Inspection Log - 2025-07-01 13:01:26

=== Database Inspection Summary ===

Database: information_schema
  Table: ADMINISTRABLE_ROLE_AUTHORIZATIONS | Size:     0.00 MB | Rows (approx): 0
  Table: events_statements_histogram_global | Size:     0.00 MB | Rows (approx): 450
  Table: events_statements_history      | Size:     0.00 MB | Rows (approx): 2560
  Table: events_statements_history_long | Size:     0.00 MB | Rows (approx): 10000
  Table: events_statements_summary_by_account_by_event_name | Size:     0.00 MB | Rows (approx): 28928
  Table: events_statements_summary_by_digest | Size:     0.00 MB | Rows (approx): 10000
  Table: events_statements_summary_by_host_by_event_name | Size:     0.00 MB | Rows (approx): 28928
  Table: events_statements_summary_by_program | Size:     0.00 MB | Rows (approx): 0
  Table: events_statements_summary_by_thread_by_event_name | Size:     0.00 MB | Rows (approx): 57856
  Table: events_statements_summary_by_user_by_event_name | Size:     0.00 MB | Rows (approx): 28928
  Table: events_statements_summary_global_by_event_name | Size:     0.00 MB | Rows (approx): 226
  Table: events_transactions_current    | Size:     0.00 MB | Rows (approx): 256
  Table: events_transactions_history    | Size:     0.00 MB | Rows (approx): 2560
  Table: events_transactions_history_long | Size:     0.00 MB | Rows (approx): 10000
  Table: events_transactions_summary_by_account_by_event_name | Size:     0.00 MB | Rows (approx): 128
  Table: events_transactions_summary_by_host_by_event_name | Size:     0.00 MB | Rows (approx): 128
  Table: events_transactions_summary_by_thread_by_event_name | Size:     0.00 MB | Rows (approx): 256
  Table: events_transactions_summary_by_user_by_event_name | Size:     0.00 MB | Rows (approx): 128
  Table: events_transactions_summary_global_by_event_name | Size:     0.00 MB | Rows (approx): 1
  Table: events_waits_current           | Size:     0.00 MB | Rows (approx): 1536
  Table: events_waits_history           | Size:     0.00 MB | Rows (approx): 2560
  Table: events_waits_history_long      | Size:     0.00 MB | Rows (approx): 10000
  Table: events_waits_summary_by_account_by_event_name | Size:     0.00 MB | Rows (approx): 88832
  Table: events_waits_summary_by_host_by_event_name | Size:     0.00 MB | Rows (approx): 88832
  Table: events_waits_summary_by_instance | Size:     0.00 MB | Rows (approx): 10752
  Table: events_waits_summary_by_thread_by_event_name | Size:     0.00 MB | Rows (approx): 177664
  Table: events_waits_summary_by_user_by_event_name | Size:     0.00 MB | Rows (approx): 88832
  Table: events_waits_summary_global_by_event_name | Size:     0.00 MB | Rows (approx): 694
  Table: file_instances                 | Size:     0.00 MB | Rows (approx): 4096
  Table: file_summary_by_event_name     | Size:     0.00 MB | Rows (approx): 80
  Table: file_summary_by_instance       | Size:     0.00 MB | Rows (approx): 4096
  Table: global_status                  | Size:     0.00 MB | Rows (approx): 264
  Table: global_variable_attributes     | Size:     0.00 MB | Rows (approx): 10
  Table: global_variables               | Size:     0.00 MB | Rows (approx): 663
  Table: host_cache                     | Size:     0.00 MB | Rows (approx): 0
  Table: hosts                          | Size:     0.00 MB | Rows (approx): 128
  Table: innodb_redo_log_files          | Size:     0.00 MB | Rows (approx): 1
  Table: keyring_component_status       | Size:     0.00 MB | Rows (approx): 64
  Table: keyring_keys                   | Size:     0.00 MB | Rows (approx): 96
  Table: log_status                     | Size:     0.00 MB | Rows (approx): 1
  Table: memory_summary_by_account_by_event_name | Size:     0.00 MB | Rows (approx): 60160
  Table: memory_summary_by_host_by_event_name | Size:     0.00 MB | Rows (approx): 60160
  Table: memory_summary_by_thread_by_event_name | Size:     0.00 MB | Rows (approx): 120320
  Table: memory_summary_by_user_by_event_name | Size:     0.00 MB | Rows (approx): 60160
  Table: memory_summary_global_by_event_name | Size:     0.00 MB | Rows (approx): 470
  Table: metadata_locks                 | Size:     0.00 MB | Rows (approx): 1024
  Table: mutex_instances                | Size:     0.00 MB | Rows (approx): 4096
  Table: objects_summary_global_by_type | Size:     0.00 MB | Rows (approx): 4096
  Table: performance_timers             | Size:     0.00 MB | Rows (approx): 5
  Table: persisted_variables            | Size:     0.00 MB | Rows (approx): 0
  Table: prepared_statements_instances  | Size:     0.00 MB | Rows (approx): 0
  Table: processlist                    | Size:     0.00 MB | Rows (approx): 256
  Table: replication_applier_configuration | Size:     0.00 MB | Rows (approx): 256
  Table: replication_applier_filters    | Size:     0.00 MB | Rows (approx): 0
  Table: replication_applier_global_filters | Size:     0.00 MB | Rows (approx): 0
  Table: replication_applier_status     | Size:     0.00 MB | Rows (approx): 256
  Table: replication_applier_status_by_coordinator | Size:     0.00 MB | Rows (approx): 256
  Table: replication_applier_status_by_worker | Size:     0.00 MB | Rows (approx): 8192
  Table: replication_asynchronous_connection_failover | Size:     0.00 MB | Rows (approx): 0
  Table: replication_asynchronous_connection_failover_managed | Size:     0.00 MB | Rows (approx): 0
  Table: replication_connection_configuration | Size:     0.00 MB | Rows (approx): 256
  Table: replication_connection_status  | Size:     0.00 MB | Rows (approx): 256
  Table: replication_group_member_stats | Size:     0.00 MB | Rows (approx): 0
  Table: replication_group_members      | Size:     0.00 MB | Rows (approx): 0
  Table: rwlock_instances               | Size:     0.00 MB | Rows (approx): 2048
  Table: session_account_connect_attrs  | Size:     0.00 MB | Rows (approx): 131072
  Table: session_connect_attrs          | Size:     0.00 MB | Rows (approx): 131072
  Table: session_status                 | Size:     0.00 MB | Rows (approx): 264
  Table: session_variables              | Size:     0.00 MB | Rows (approx): 663
  Table: setup_actors                   | Size:     0.00 MB | Rows (approx): 128
  Table: setup_consumers                | Size:     0.00 MB | Rows (approx): 16
  Table: setup_instruments              | Size:     0.00 MB | Rows (approx): 1567
  Table: setup_meters                   | Size:     0.00 MB | Rows (approx): 12
  Table: setup_metrics                  | Size:     0.00 MB | Rows (approx): 421
  Table: setup_objects                  | Size:     0.00 MB | Rows (approx): 128
  Table: setup_threads                  | Size:     0.00 MB | Rows (approx): 100
  Table: socket_instances               | Size:     0.00 MB | Rows (approx): 256
  Table: socket_summary_by_event_name   | Size:     0.00 MB | Rows (approx): 10
  Table: socket_summary_by_instance     | Size:     0.00 MB | Rows (approx): 256
  Table: status_by_account              | Size:     0.00 MB | Rows (approx): 33792
  Table: status_by_host                 | Size:     0.00 MB | Rows (approx): 33792
  Table: status_by_thread               | Size:     0.00 MB | Rows (approx): 67584
  Table: status_by_user                 | Size:     0.00 MB | Rows (approx): 33792
  Table: table_handles                  | Size:     0.00 MB | Rows (approx): 0
  Table: table_io_waits_summary_by_index_usage | Size:     0.00 MB | Rows (approx): 8192
  Table: table_io_waits_summary_by_table | Size:     0.00 MB | Rows (approx): 4096
  Table: table_lock_waits_summary_by_table | Size:     0.00 MB | Rows (approx): 4096
  Table: threads                        | Size:     0.00 MB | Rows (approx): 256
  Table: tls_channel_status             | Size:     0.00 MB | Rows (approx): 96
  Table: user_defined_functions         | Size:     0.00 MB | Rows (approx): 16
  Table: user_variables_by_thread       | Size:     0.00 MB | Rows (approx): 2560
  Table: users                          | Size:     0.00 MB | Rows (approx): 128
  Table: variables_by_thread            | Size:     0.00 MB | Rows (approx): 169728
  Table: variables_info                 | Size:     0.00 MB | Rows (approx): 663
  Table: variables_metadata             | Size:     0.00 MB | Rows (approx): 663

Database: qol_db_test
  (No tables or no access)

Database: sys
  [Could not inspect tables: unsupported format string passed to NoneType.__format__]

